Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,orig_index,id,created_at
just got this one venmo scammer scam number scammer s website or email additional information about this scam,9,9_crypto_community_pharmacy_medicare,"['crypto', 'community', 'pharmacy', 'medicare', 'called', 'crypto community', 'ssa', 'facebook', 'community crypto', 'cvs']","['crypto scammer scam number scammer s website or email additional information about this scam community', '1 662 crypto scammer scam number scammer s website or email additional information about this scam community', 'crypto scammer scam number scammer s website or email additional information about this scam community']",crypto - community - pharmacy - medicare - called - crypto community - ssa - facebook - community crypto - cvs,0.4844025129668209,False,10283,148915,2024-01-31 20:03:26.907
chase refund scam scam number scammer s website or email additional information about this scam,4,4_norton_nortonrefund_chase_norton norton,"['norton', 'nortonrefund', 'chase', 'norton norton', 'invoice', 'norton antivirus', 'antivirus', 'nortonrefund norton', 'lifelock', 'norton lifelock']","['norton scam scam number scammer s website or email email additional information about this scam 451 35', 'norton scam number scammer s website or email additional information about this scam', 'norton_refund scam number scammer s website or email email additional information about this scam norton 539 97']",norton - nortonrefund - chase - norton norton - invoice - norton antivirus - antivirus - nortonrefund norton - lifelock - norton lifelock,0.006881624193425937,False,10284,148913,2024-01-31 19:28:38.411
mcafee refund scam called to verify,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.8739869889696724,False,10285,148912,2024-01-31 19:25:29.747
comcast to infinity and beyond these annoying comcast cable tv services pricks need some company once again there is way too many toll free customers to deal with they re in good hands comcast x finity comcast x finity 430,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.4854015794272104,False,10286,148911,2024-01-31 19:20:05.578
mcafee scam 512 scam number scammer s website or email pcdelta us additional information about this scam fake invoice from mcafee a poster states invoice 512 emailed to 227 others with the first name of pat patr,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.8739869889696724,False,10287,148909,2024-01-31 18:58:18.816
fake microsoft pop up scam scam number scammer s website or email additional information about this scam,3,3_microsoft_fake microsoft_pop_fake microsoft pop,"['microsoft', 'fake microsoft', 'pop', 'fake microsoft pop', 'microsoft pop', 'fake', 'pop fake', 'apple', 'microsoft pop fake', 'pop fake microsoft']","['fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam scam number scammer s website or email additional information about this scam']",microsoft - fake microsoft - pop - fake microsoft pop - microsoft pop - fake - pop fake - apple - microsoft pop fake - pop fake microsoft,1.0,True,10288,148908,2024-01-31 18:58:06.128
fake pop up scam scam number scammer s website or email additional information about this scam from,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.48766481394000694,False,10289,148907,2024-01-31 18:41:52.963
geek squat scam number scammer s website or email additional information about this scam screen connect vonage carrier,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.804426598137461,False,10290,148906,2024-01-31 17:51:07.649
debt consolidation scam number blockquote scammer s website or email debt consolidation scam additional information about this scam,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.6604674966974822,False,10291,148905,2024-01-31 17:46:36.866
amazon live scam 31st jan scam number scammer s website or email,0,0_live_amazon live_amazon_jan,"['live', 'amazon live', 'amazon', 'jan', 'live jan', 'amazon live jan', 'page', 'live jan amazon', 'jan amazon', 'jan amazon live']","['amazon live scam 28 jan scam number scammer s website or email', 'amazon live scam 19 jan scam number scammer s website or email number website', 'amazon live scam 19 jan scam number 2 scammer s website or email']",live - amazon live - amazon - jan - live jan - amazon live jan - page - live jan amazon - jan amazon - jan amazon live,1.0,False,10292,148904,2024-01-31 17:37:51.061
microsoft scam number scam number scammer s website or email additional information about this scam microsoft scammer,3,3_microsoft_fake microsoft_pop_fake microsoft pop,"['microsoft', 'fake microsoft', 'pop', 'fake microsoft pop', 'microsoft pop', 'fake', 'pop fake', 'apple', 'microsoft pop fake', 'pop fake microsoft']","['fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam scam number scammer s website or email additional information about this scam']",microsoft - fake microsoft - pop - fake microsoft pop - microsoft pop - fake - pop fake - apple - microsoft pop fake - pop fake microsoft,0.06081574741531601,False,10293,148902,2024-01-31 17:34:20.180
tech_support number scam number scammer s website or email additional information about this scam,2,2_techsupport techsupport techsupport_techsupport techsupport_techsupport_people,"['techsupport techsupport techsupport', 'techsupport techsupport', 'techsupport', 'people', 'callback techsupport', 'callback techsupport techsupport', 'techsupport techsupport callback', 'techsupport callback', 'techsupport callback techsupport', 'techsupport techsupport tech']","['tech_support scam scam number scammer s website or email site is dead now additional information about this scam they use both teamviewer and rustdesk', 'generic tech_support scam number scammer s website or email additional information about this scam this guy is using whatsapp and usa number to scam people by involving them in tech_support and providing phishing call', 'tech bank scam please elevate large scale multiple numbers this number needs to be sent to the right people as its a bigger process then i can handle and know what to do with there are content creators or more qualified people that can do better work to get these guys starts w']",techsupport techsupport techsupport - techsupport techsupport - techsupport - people - callback techsupport - callback techsupport techsupport - techsupport techsupport callback - techsupport callback - techsupport callback techsupport - techsupport techsupport tech,0.8952062626448893,False,10294,148901,2024-01-31 17:27:56.106
thank you for purchase mcafee from joseph tucker date wed jan 31 2024 at 11 07 am subject thank you for your purchase we wanted to inform you that your recent purchase has been processed successful,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.8739869889696724,False,10295,148900,2024-01-31 17:27:47.702
tech_support number scam number scammer s website or email,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.9873440449633771,False,10296,148899,2024-01-31 17:21:05.186
fraud multiple crypto tech_support scam scam number scammer s website or email additional information about this scam fraud multiple crypto tech_support scam number,10,10_techsupport_crypto techsupport_crypto_techsupport active,"['techsupport', 'crypto techsupport', 'crypto', 'techsupport active', 'active', 'fraud', 'techsupport fraud', 'support', 'crypto techsupport active', 'techsupport active techsupport']","['fraud tech_support scam number scam number scammer s website or email additional information about this scam fraud multiple crypto tech_support scam number', 'fraud crypto tech_support scam still active scam number scammer s website or email additional information about this scam fraud crypto tech_support scam active number firefighter619 scammerjammer007', 'crypto tech_support scam scam number scammer s website or email additional information about this scam active tech_support scam numbers']",techsupport - crypto techsupport - crypto - techsupport active - active - fraud - techsupport fraud - support - crypto techsupport active - techsupport active techsupport,1.0,False,10297,148898,2024-01-31 17:11:53.704
tech_support number scam number scammer s website or email additional information about this scam,2,2_techsupport techsupport techsupport_techsupport techsupport_techsupport_people,"['techsupport techsupport techsupport', 'techsupport techsupport', 'techsupport', 'people', 'callback techsupport', 'callback techsupport techsupport', 'techsupport techsupport callback', 'techsupport callback', 'techsupport callback techsupport', 'techsupport techsupport tech']","['tech_support scam scam number scammer s website or email site is dead now additional information about this scam they use both teamviewer and rustdesk', 'generic tech_support scam number scammer s website or email additional information about this scam this guy is using whatsapp and usa number to scam people by involving them in tech_support and providing phishing call', 'tech bank scam please elevate large scale multiple numbers this number needs to be sent to the right people as its a bigger process then i can handle and know what to do with there are content creators or more qualified people that can do better work to get these guys starts w']",techsupport techsupport techsupport - techsupport techsupport - techsupport - people - callback techsupport - callback techsupport techsupport - techsupport techsupport callback - techsupport callback - techsupport callback techsupport - techsupport techsupport tech,0.7453974816312632,False,10298,148897,2024-01-31 17:10:12.070
tech_support number scam number scammer s website or email additional information abo,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.9873440449633771,False,10299,148896,2024-01-31 17:08:45.757
american debt agency approval department scam number callback additional information about this scam i received this call from a bot at 10 50am central today sam female offering a federal grant loan for 50 000 they are holding it because,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.6604674966974822,False,10300,148895,2024-01-31 17:00:56.401
norton_refund scam number scammer s website or email email additional information about this scam,4,4_norton_nortonrefund_chase_norton norton,"['norton', 'nortonrefund', 'chase', 'norton norton', 'invoice', 'norton antivirus', 'antivirus', 'nortonrefund norton', 'lifelock', 'norton lifelock']","['norton scam scam number scammer s website or email email additional information about this scam 451 35', 'norton scam number scammer s website or email additional information about this scam', 'norton_refund scam number scammer s website or email email additional information about this scam norton 539 97']",norton - nortonrefund - chase - norton norton - invoice - norton antivirus - antivirus - nortonrefund norton - lifelock - norton lifelock,1.0,False,10301,148894,2024-01-31 16:47:22.034
credit card scam scam number scammer s website or email robocall additional information about this scam fake zero interest,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.5227097266305533,False,10302,148892,2024-01-31 16:23:29.190
trend micro refund scam number scammer s website or email additional information about this scam dear xxxxxxxxxxx we are delighted to confirm the renewal of your subscription your continued trust in our service reaffi,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.8739869889696723,False,10303,148891,2024-01-31 16:18:27.698
fake microsoft pop up scam number scammer s website or email additional information about this scam,3,3_microsoft_fake microsoft_pop_fake microsoft pop,"['microsoft', 'fake microsoft', 'pop', 'fake microsoft pop', 'microsoft pop', 'fake', 'pop fake', 'apple', 'microsoft pop fake', 'pop fake microsoft']","['fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam scam number scammer s website or email additional information about this scam']",microsoft - fake microsoft - pop - fake microsoft pop - microsoft pop - fake - pop fake - apple - microsoft pop fake - pop fake microsoft,1.0,False,10304,148890,2024-01-31 16:08:51.748
microsoft scam number scam number scammer s website or email additional information about this scam microsoft scam number,3,3_microsoft_fake microsoft_pop_fake microsoft pop,"['microsoft', 'fake microsoft', 'pop', 'fake microsoft pop', 'microsoft pop', 'fake', 'pop fake', 'apple', 'microsoft pop fake', 'pop fake microsoft']","['fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam scam number scammer s website or email additional information about this scam']",microsoft - fake microsoft - pop - fake microsoft pop - microsoft pop - fake - pop fake - apple - microsoft pop fake - pop fake microsoft,0.06003398587159307,False,10305,148888,2024-01-31 15:54:38.953
crypto scammer scam number scammer s website or email additional information about this scam coinbase scammer don t call on this num,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.9618620231148436,False,10306,148886,2024-01-31 15:28:10.845
microsoft pop up scam scam number scammer s website or email additional information about this scam,3,3_microsoft_fake microsoft_pop_fake microsoft pop,"['microsoft', 'fake microsoft', 'pop', 'fake microsoft pop', 'microsoft pop', 'fake', 'pop fake', 'apple', 'microsoft pop fake', 'pop fake microsoft']","['fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam scam number scammer s website or email additional information about this scam']",microsoft - fake microsoft - pop - fake microsoft pop - microsoft pop - fake - pop fake - apple - microsoft pop fake - pop fake microsoft,1.0,False,10307,148884,2024-01-31 15:05:55.229
tech_support number scam number scammer s website or email additional information about this scam,2,2_techsupport techsupport techsupport_techsupport techsupport_techsupport_people,"['techsupport techsupport techsupport', 'techsupport techsupport', 'techsupport', 'people', 'callback techsupport', 'callback techsupport techsupport', 'techsupport techsupport callback', 'techsupport callback', 'techsupport callback techsupport', 'techsupport techsupport tech']","['tech_support scam scam number scammer s website or email site is dead now additional information about this scam they use both teamviewer and rustdesk', 'generic tech_support scam number scammer s website or email additional information about this scam this guy is using whatsapp and usa number to scam people by involving them in tech_support and providing phishing call', 'tech bank scam please elevate large scale multiple numbers this number needs to be sent to the right people as its a bigger process then i can handle and know what to do with there are content creators or more qualified people that can do better work to get these guys starts w']",techsupport techsupport techsupport - techsupport techsupport - techsupport - people - callback techsupport - callback techsupport techsupport - techsupport techsupport callback - techsupport callback - techsupport callback techsupport - techsupport techsupport tech,0.8960171244834755,False,10308,148881,2024-01-31 14:48:19.651
geeksquad scammer scam number scammer s website or email additional information about this scam,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.804426598137461,False,10309,148880,2024-01-31 14:22:14.948
tech_support number scam number scammer s website or email additional information about this scam,2,2_techsupport techsupport techsupport_techsupport techsupport_techsupport_people,"['techsupport techsupport techsupport', 'techsupport techsupport', 'techsupport', 'people', 'callback techsupport', 'callback techsupport techsupport', 'techsupport techsupport callback', 'techsupport callback', 'techsupport callback techsupport', 'techsupport techsupport tech']","['tech_support scam scam number scammer s website or email site is dead now additional information about this scam they use both teamviewer and rustdesk', 'generic tech_support scam number scammer s website or email additional information about this scam this guy is using whatsapp and usa number to scam people by involving them in tech_support and providing phishing call', 'tech bank scam please elevate large scale multiple numbers this number needs to be sent to the right people as its a bigger process then i can handle and know what to do with there are content creators or more qualified people that can do better work to get these guys starts w']",techsupport techsupport techsupport - techsupport techsupport - techsupport - people - callback techsupport - callback techsupport techsupport - techsupport techsupport callback - techsupport callback - techsupport callback techsupport - techsupport techsupport tech,1.0,False,10310,148879,2024-01-31 14:18:41.250
zelle scam scam number screenshot 20240131 080640 messages 337x750,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.9851340698795241,False,10311,148878,2024-01-31 14:10:21.156
tech_support number scam number scammer s website or email additional information about this scam,2,2_techsupport techsupport techsupport_techsupport techsupport_techsupport_people,"['techsupport techsupport techsupport', 'techsupport techsupport', 'techsupport', 'people', 'callback techsupport', 'callback techsupport techsupport', 'techsupport techsupport callback', 'techsupport callback', 'techsupport callback techsupport', 'techsupport techsupport tech']","['tech_support scam scam number scammer s website or email site is dead now additional information about this scam they use both teamviewer and rustdesk', 'generic tech_support scam number scammer s website or email additional information about this scam this guy is using whatsapp and usa number to scam people by involving them in tech_support and providing phishing call', 'tech bank scam please elevate large scale multiple numbers this number needs to be sent to the right people as its a bigger process then i can handle and know what to do with there are content creators or more qualified people that can do better work to get these guys starts w']",techsupport techsupport techsupport - techsupport techsupport - techsupport - people - callback techsupport - callback techsupport techsupport - techsupport techsupport callback - techsupport callback - techsupport callback techsupport - techsupport techsupport tech,0.8723015575715201,False,10312,148877,2024-01-31 14:08:11.926
fake microsoft pop up scam scam number scammer s website or email additional information about this scam,3,3_microsoft_fake microsoft_pop_fake microsoft pop,"['microsoft', 'fake microsoft', 'pop', 'fake microsoft pop', 'microsoft pop', 'fake', 'pop fake', 'apple', 'microsoft pop fake', 'pop fake microsoft']","['fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam scam number scammer s website or email additional information about this scam']",microsoft - fake microsoft - pop - fake microsoft pop - microsoft pop - fake - pop fake - apple - microsoft pop fake - pop fake microsoft,1.0,True,10313,148876,2024-01-31 14:08:05.957
fake microsoft scam scam number scammer s website or email additional information about this scam,3,3_microsoft_fake microsoft_pop_fake microsoft pop,"['microsoft', 'fake microsoft', 'pop', 'fake microsoft pop', 'microsoft pop', 'fake', 'pop fake', 'apple', 'microsoft pop fake', 'pop fake microsoft']","['fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam number scammer s website or email', 'fake microsoft pop up scam scam number scammer s website or email additional information about this scam']",microsoft - fake microsoft - pop - fake microsoft pop - microsoft pop - fake - pop fake - apple - microsoft pop fake - pop fake microsoft,0.5509825634714239,False,10314,148875,2024-01-31 13:51:14.164
